,prim_suff,usps_abbr,pattern,combined
0,ALLEY,ALY,( allee | alley | ally ),"(' allee | alley | ally ', 'aly')"
1,ANEX,ANX,( anex | annex | annx ),"(' anex | annex | annx ', 'anx')"
2,ARCADE,ARC,( arcade ),"(' arcade ', 'arc')"
3,AVENUE,AVE,( av | aven | avenu | avenue | avn | avnue ),"(' av | aven | avenu | avenue | avn | avnue ', 'ave')"
4,BAYOU,BYU,( bayoo | bayou ),"(' bayoo | bayou ', 'byu')"
5,BEACH,BCH,( beach ),"(' beach ', 'bch')"
6,BEND,BND,( bend ),"(' bend ', 'bnd')"
7,BLUFF,BLF,( bluf | bluff ),"(' bluf | bluff ', 'blf')"
8,BLUFFS,BLFS,( bluffs ),"(' bluffs ', 'blfs')"
9,BOTTOM,BTM,( bot | bottm | bottom ),"(' bot | bottm | bottom ', 'btm')"
10,BOULEVARD,BLVD,( boul | boulevard | boulv ),"(' boul | boulevard | boulv ', 'blvd')"
11,BRANCH,BR,( brnch | branch ),"(' brnch | branch ', 'br')"
12,BRIDGE,BRG,( brdge | bridge ),"(' brdge | bridge ', 'brg')"
13,BROOK,BRK,( brook ),"(' brook ', 'brk')"
14,BROOKS,BRKS,( brooks ),"(' brooks ', 'brks')"
15,BURG,BG,( burg ),"(' burg ', 'bg')"
16,BURGS,BGS,( burgs ),"(' burgs ', 'bgs')"
17,BYPASS,BYP,( bypa | bypas | bypass | byps ),"(' bypa | bypas | bypass | byps ', 'byp')"
18,CAMP,CP,( camp | cmp ),"(' camp | cmp ', 'cp')"
19,CANYON,CYN,( canyn | canyon | cnyn ),"(' canyn | canyon | cnyn ', 'cyn')"
20,CAPE,CPE,( cape ),"(' cape ', 'cpe')"
21,CAUSEWAY,CSWY,( causeway | causwa ),"(' causeway | causwa ', 'cswy')"
22,CENTER,CTR,( cen | cent | center | centr | centre | cnter | cntr ),"(' cen | cent | center | centr | centre | cnter | cntr ', 'ctr')"
23,CENTERS,CTRS,( centers ),"(' centers ', 'ctrs')"
24,CIRCLE,CIR,( circ | circl | circle | crcl | crcle ),"(' circ | circl | circle | crcl | crcle ', 'cir')"
25,CIRCLES,CIRS,( circles ),"(' circles ', 'cirs')"
26,CLIFF,CLF,( cliff ),"(' cliff ', 'clf')"
27,CLIFFS,CLFS,( cliffs ),"(' cliffs ', 'clfs')"
28,CLUB,CLB,( club ),"(' club ', 'clb')"
29,COMMON,CMN,( common ),"(' common ', 'cmn')"
30,COMMONS,CMNS,( commons ),"(' commons ', 'cmns')"
31,CORNER,COR,( corner ),"(' corner ', 'cor')"
32,CORNERS,CORS,( corners ),"(' corners ', 'cors')"
33,COURSE,CRSE,( course ),"(' course ', 'crse')"
34,COURT,CT,( court ),"(' court ', 'ct')"
35,COURTS,CTS,( courts ),"(' courts ', 'cts')"
36,COVE,CV,( cove ),"(' cove ', 'cv')"
37,COVES,CVS,( coves ),"(' coves ', 'cvs')"
38,CREEK,CRK,( creek ),"(' creek ', 'crk')"
39,CRESCENT,CRES,( crescent | crsent | crsnt ),"(' crescent | crsent | crsnt ', 'cres')"
40,CREST,CRST,( crest ),"(' crest ', 'crst')"
41,CROSSING,XING,( crossing | crssng ),"(' crossing | crssng ', 'xing')"
42,CROSSROAD,XRD,( crossroad ),"(' crossroad ', 'xrd')"
43,CROSSROADS,XRDS,( crossroads ),"(' crossroads ', 'xrds')"
44,CURVE,CURV,( curve ),"(' curve ', 'curv')"
45,DALE,DL,( dale ),"(' dale ', 'dl')"
46,DAM,DM,( dam ),"(' dam ', 'dm')"
47,DIVIDE,DV,( div | divide | dvd ),"(' div | divide | dvd ', 'dv')"
48,DRIVE,DR,( driv | drive | drv ),"(' driv | drive | drv ', 'dr')"
49,DRIVES,DRS,( drives ),"(' drives ', 'drs')"
50,ESTATE,EST,( estate ),"(' estate ', 'est')"
51,ESTATES,ESTS,( estates ),"(' estates ', 'ests')"
52,EXPRESSWAY,EXPY,( exp | expr | express | expressway | expw ),"(' exp | expr | express | expressway | expw ', 'expy')"
53,EXTENSION,EXT,( extension | extn | extnsn ),"(' extension | extn | extnsn ', 'ext')"
54,FALLS,FLS,( falls ),"(' falls ', 'fls')"
55,FERRY,FRY,( ferry | frry ),"(' ferry | frry ', 'fry')"
56,FIELD,FLD,( field ),"(' field ', 'fld')"
57,FIELDS,FLDS,( fields ),"(' fields ', 'flds')"
58,FLAT,FLT,( flat ),"(' flat ', 'flt')"
59,FLATS,FLTS,( flats ),"(' flats ', 'flts')"
60,FORD,FRD,( ford ),"(' ford ', 'frd')"
61,FORDS,FRDS,( fords ),"(' fords ', 'frds')"
62,FOREST,FRST,( forest | forests ),"(' forest | forests ', 'frst')"
63,FORGE,FRG,( forg | forge ),"(' forg | forge ', 'frg')"
64,FORGES,FRGS,( forges ),"(' forges ', 'frgs')"
65,FORK,FRK,( fork ),"(' fork ', 'frk')"
66,FORKS,FRKS,( forks ),"(' forks ', 'frks')"
67,FORT,FT,( fort | frt ),"(' fort | frt ', 'ft')"
68,FREEWAY,FWY,( freeway | freewy | frway | frwy ),"(' freeway | freewy | frway | frwy ', 'fwy')"
69,GARDEN,GDN,( garden | gardn | grden | grdn ),"(' garden | gardn | grden | grdn ', 'gdn')"
70,GARDENS,GDNS,( gardens | grdns ),"(' gardens | grdns ', 'gdns')"
71,GATEWAY,GTWY,( gateway | gatewy | gatway | gtway ),"(' gateway | gatewy | gatway | gtway ', 'gtwy')"
72,GLEN,GLN,( glen ),"(' glen ', 'gln')"
73,GLENS,GLNS,( glens ),"(' glens ', 'glns')"
74,GREEN,GRN,( green ),"(' green ', 'grn')"
75,GREENS,GRNS,( greens ),"(' greens ', 'grns')"
76,GROVE,GRV,( grov | grove ),"(' grov | grove ', 'grv')"
77,GROVES,GRVS,( groves ),"(' groves ', 'grvs')"
78,HARBOR,HBR,( harb | harbor | harbr | hrbor ),"(' harb | harbor | harbr | hrbor ', 'hbr')"
79,HARBORS,HBRS,( harbors ),"(' harbors ', 'hbrs')"
80,HAVEN,HVN,( haven ),"(' haven ', 'hvn')"
81,HEIGHTS,HTS,( ht ),"(' ht ', 'hts')"
82,HIGHWAY,HWY,( highway | highwy | hiway | hiwy | hway ),"(' highway | highwy | hiway | hiwy | hway ', 'hwy')"
83,HILL,HL,( hill ),"(' hill ', 'hl')"
84,HILLS,HLS,( hills ),"(' hills ', 'hls')"
85,HOLLOW,HOLW,( hllw | hollow | hollows | holws ),"(' hllw | hollow | hollows | holws ', 'holw')"
86,ISLAND,IS,( island | islnd ),"(' island | islnd ', 'is')"
87,ISLANDS,ISS,( islands | islnds ),"(' islands | islnds ', 'iss')"
88,ISLE,ISLE,( isles ),"(' isles ', 'isle')"
89,JUNCTION,JCT,( jction | jctn | junction | junctn | juncton ),"(' jction | jctn | junction | junctn | juncton ', 'jct')"
90,JUNCTIONS,JCTS,( jctns | junctions ),"(' jctns | junctions ', 'jcts')"
91,KEY,KY,( key ),"(' key ', 'ky')"
92,KEYS,KYS,( keys ),"(' keys ', 'kys')"
93,KNOLL,KNL,( knol | knoll ),"(' knol | knoll ', 'knl')"
94,KNOLLS,KNLS,( knolls ),"(' knolls ', 'knls')"
95,LAKE,LK,( lake ),"(' lake ', 'lk')"
96,LAKES,LKS,( lakes ),"(' lakes ', 'lks')"
97,LANDING,LNDG,( landing | lndng ),"(' landing | lndng ', 'lndg')"
98,LANE,LN,( lane ),"(' lane ', 'ln')"
99,LIGHT,LGT,( light ),"(' light ', 'lgt')"
100,LIGHTS,LGTS,( lights ),"(' lights ', 'lgts')"
101,LOAF,LF,( loaf ),"(' loaf ', 'lf')"
102,LOCK,LCK,( lock ),"(' lock ', 'lck')"
103,LOCKS,LCKS,( locks ),"(' locks ', 'lcks')"
104,LODGE,LDG,( ldge | lodg | lodge ),"(' ldge | lodg | lodge ', 'ldg')"
105,LOOP,LOOP,( loops ),"(' loops ', 'loop')"
106,MANOR,MNR,( manor ),"(' manor ', 'mnr')"
107,MANORS,MNRS,( manors ),"(' manors ', 'mnrs')"
108,MEADOW,MDW,( meadow ),"(' meadow ', 'mdw')"
109,MEADOWS,MDWS,( mdw | meadows | medows ),"(' mdw | meadows | medows ', 'mdws')"
110,MILL,ML,( mill ),"(' mill ', 'ml')"
111,MILLS,MLS,( mills ),"(' mills ', 'mls')"
112,MISSION,MSN,( missn | mssn ),"(' missn | mssn ', 'msn')"
113,MOTORWAY,MTWY,( motorway ),"(' motorway ', 'mtwy')"
114,MOUNT,MT,( mnt | mount ),"(' mnt | mount ', 'mt')"
115,MOUNTAIN,MTN,( mntain | mntn | mountain | mountin | mtin ),"(' mntain | mntn | mountain | mountin | mtin ', 'mtn')"
116,MOUNTAINS,MTNS,( mntns | mountains ),"(' mntns | mountains ', 'mtns')"
117,NECK,NCK,( neck ),"(' neck ', 'nck')"
118,ORCHARD,ORCH,( orchard | orchrd ),"(' orchard | orchrd ', 'orch')"
119,OVAL,OVAL,( ovl ),"(' ovl ', 'oval')"
120,OVERPASS,OPAS,( overpass ),"(' overpass ', 'opas')"
121,PARK,PARK,( prk ),"(' prk ', 'park')"
122,PARKS,PARK,( parks ),"(' parks ', 'park')"
123,PARKWAY,PKWY,( parkway | parkwy | pkway | pky ),"(' parkway | parkwy | pkway | pky ', 'pkwy')"
124,PARKWAYS,PKWY,( parkways | pkwys ),"(' parkways | pkwys ', 'pkwy')"
125,PASSAGE,PSGE,( passage ),"(' passage ', 'psge')"
126,PATH,PATH,( paths ),"(' paths ', 'path')"
127,PIKE,PIKE,( pikes ),"(' pikes ', 'pike')"
128,PINE,PNE,( pine ),"(' pine ', 'pne')"
129,PINES,PNES,( pines ),"(' pines ', 'pnes')"
130,PLAIN,PLN,( plain ),"(' plain ', 'pln')"
131,PLAINS,PLNS,( plains ),"(' plains ', 'plns')"
132,PLAZA,PLZ,( plaza | plza ),"(' plaza | plza ', 'plz')"
133,POINT,PT,( point ),"(' point ', 'pt')"
134,POINTS,PTS,( points ),"(' points ', 'pts')"
135,PORT,PRT,( port ),"(' port ', 'prt')"
136,PORTS,PRTS,( ports ),"(' ports ', 'prts')"
137,PRAIRIE,PR,( prairie | prr ),"(' prairie | prr ', 'pr')"
138,RADIAL,RADL,( rad | radial | radiel ),"(' rad | radial | radiel ', 'radl')"
139,RANCH,RNCH,( ranch | ranches | rnchs ),"(' ranch | ranches | rnchs ', 'rnch')"
140,RAPID,RPD,( rapid ),"(' rapid ', 'rpd')"
141,RAPIDS,RPDS,( rapids ),"(' rapids ', 'rpds')"
142,REST,RST,( rest ),"(' rest ', 'rst')"
143,RIDGE,RDG,( rdge | ridge ),"(' rdge | ridge ', 'rdg')"
144,RIDGES,RDGS,( ridges ),"(' ridges ', 'rdgs')"
145,RIVER,RIV,( river | rvr | rivr ),"(' river | rvr | rivr ', 'riv')"
146,ROAD,RD,( road ),"(' road ', 'rd')"
147,ROADS,RDS,( roads ),"(' roads ', 'rds')"
148,ROUTE,RTE,( route ),"(' route ', 'rte')"
149,SHOAL,SHL,( shoal ),"(' shoal ', 'shl')"
150,SHOALS,SHLS,( shoals ),"(' shoals ', 'shls')"
151,SHORE,SHR,( shoar | shore ),"(' shoar | shore ', 'shr')"
152,SHORES,SHRS,( shoars | shores ),"(' shoars | shores ', 'shrs')"
153,SKYWAY,SKWY,( skyway ),"(' skyway ', 'skwy')"
154,SPRING,SPG,( spng | spring | sprng ),"(' spng | spring | sprng ', 'spg')"
155,SPRINGS,SPGS,( spngs | springs | sprngs ),"(' spngs | springs | sprngs ', 'spgs')"
156,SPURS,SPUR,( spurs ),"(' spurs ', 'spur')"
157,SQUARE,SQ,( sqr | sqre | squ | square ),"(' sqr | sqre | squ | square ', 'sq')"
158,SQUARES,SQS,( sqrs | squares ),"(' sqrs | squares ', 'sqs')"
159,STATION,STA,( station | statn | stn ),"(' station | statn | stn ', 'sta')"
160,STRAVENUE,STRA,( strav | straven | stravenue | stravn | strvn | strvnue ),"(' strav | straven | stravenue | stravn | strvn | strvnue ', 'stra')"
161,STREAM,STRM,( stream | streme ),"(' stream | streme ', 'strm')"
162,STREET,ST,( street | strt | str ),"(' street | strt | str ', 'st')"
163,STREETS,STS,( streets ),"(' streets ', 'sts')"
164,SUMMIT,SMT,( sumit | sumitt | summit ),"(' sumit | sumitt | summit ', 'smt')"
165,TERRACE,TER,( terr | terrace ),"(' terr | terrace ', 'ter')"
166,THROUGHWAY,TRWY,( throughway ),"(' throughway ', 'trwy')"
167,TRACE,TRCE,( trace | traces ),"(' trace | traces ', 'trce')"
168,TRACK,TRAK,( track | tracks | trk | trks ),"(' track | tracks | trk | trks ', 'trak')"
169,TRAFFICWAY,TRFY,( trafficway ),"(' trafficway ', 'trfy')"
170,TRAIL,TRL,( trail | trails | trls ),"(' trail | trails | trls ', 'trl')"
171,TRAILER,TRLR,( trailer | trlrs ),"(' trailer | trlrs ', 'trlr')"
172,TUNNEL,TUNL,( tunel | tunls | tunnel | tunnels | tunnl ),"(' tunel | tunls | tunnel | tunnels | tunnl ', 'tunl')"
173,TURNPIKE,TPKE,( trnpk | turnpike | turnpk ),"(' trnpk | turnpike | turnpk ', 'tpke')"
174,UNDERPASS,UPAS,( underpass ),"(' underpass ', 'upas')"
175,UNION,UN,( union ),"(' union ', 'un')"
176,UNIONS,UNS,( unions ),"(' unions ', 'uns')"
177,VALLEY,VLY,( valley | vally | vlly ),"(' valley | vally | vlly ', 'vly')"
178,VALLEYS,VLYS,( valleys ),"(' valleys ', 'vlys')"
179,VIADUCT,VIA,( vdct | viadct | viaduct ),"(' vdct | viadct | viaduct ', 'via')"
180,VIEW,VW,( view ),"(' view ', 'vw')"
181,VIEWS,VWS,( views ),"(' views ', 'vws')"
182,VILLAGE,VLG,( vill | villag | village | villg | villiage ),"(' vill | villag | village | villg | villiage ', 'vlg')"
183,VILLAGES,VLGS,( villages ),"(' villages ', 'vlgs')"
184,VILLE,VL,( ville ),"(' ville ', 'vl')"
185,VISTA,VIS,( vist | vista | vst | vsta ),"(' vist | vista | vst | vsta ', 'vis')"
186,WALKS,WALK,( walks ),"(' walks ', 'walk')"
187,WAY,WAY,( wy ),"(' wy ', 'way')"
188,WELL,WL,( well ),"(' well ', 'wl')"
189,WELLS,WLS,( wells ),"(' wells ', 'wls')"
